"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";"Characteristics:Пищевая ценность (100г)";Characteristics:кКал;Characteristics:Противопоказания;"Characteristics:Cрок годности";"Characteristics:Срок годности";"Characteristics:Пищевая ценность в 100 г продукта";"Characteristics:Энергетическая ценность в 100 г продукта";"Characteristics:Пищевая ценность (100 г)";"Characteristics:Пищевая ценность на одну порцию(5 г)";Characteristics:Состав;"Characteristics:кКал в 100 г продукта (в суточной дозе)";"Characteristics:Форма выпуска";Characteristics:Калорийность;"Characteristics:Флакон 200 мл";Characteristics:Хранение;Weight;Length;Width;Height;"SEO title";"SEO descr";"SEO keywords";"FB title";"FB descr";Tabs:1;Tabs:2;Tabs:3;Tabs:4
345714087541;;К00001;-50%;"Collagen;АКЦИИ СТД";"Пептиды коллагена Мультикомплекс I, II, III тип (Ultra Pure)";"Коллаген куриный гидролизованный быстро и легко усваиваемый";"пептиды ультра пьюр<br /><br />ВОДОРАСТВОРИМЫЙ ПОРОШОК<br />НЕ ТРЕБУЕТ ПЕРЕРЫВА В ПРИЕМЕ<br /><br /><p style=""text-align: left;"">Вес нетто: 90 г</p><br /><p style=""text-align: left;""><strong>Гидролизованный пептидный коллаген I, II, III типа</strong>.</p><p style=""text-align: left;"">В основе сырья – хрящевая ткань курицы. Получен инновационным методом низкотемпературного ферментативного гидролиза без использования щелочей и кислот. Повторяет естественный процесс расщепления белка в организме. Результат – амино-пептидная формула коллагена высокой степени усвояемости и безопасности</p><br /><p style=""text-align: left;"">Молекулярный вес пептидов 8,7–10,0 кДа. Легко преодолевают желудочно кишечный барьер и встраивается в метаболические процессы, включаясь в структурную, каталитическую, регуляторную, транспортную и защитную функции</p><br /><p style=""text-align: left;"">Не является лекарством или БАД</p>";"https://static.tildacdn.com/stor6631-6535-4434-a462-653735616331/82287006.jpg https://static.tildacdn.com/stor3934-3365-4633-b136-313430646364/70120877.jpg";800.00;;1600;;;nbS3MLpnLH37tfHsgs3S;;"белки 95,0 жиры 1,0 углеводы 0,0";;"Индивидуальная непереносимость компонентов продукта";;;;;;;;;;;;;90;135;200;0;"Коллаген чистый";"Коллаген Ультра +";"коллаген, коллаген куриный 1,2,3 тип, коллаген для волос, кожи, суставов, пептидный коллаген, пептиды купить, коллаген без добавок";;;"info|#|Преимущества|#|<p style=""text-align: left;"">Правильный коллаген с доказанной эффективностью:</p><ul><li style=""text-align: left;"">активизирует процесс синтеза собственного коллагена, ремоделирует биоматрицу коллагена в системах и органах</li><li style=""text-align: left;"">предотвращает дегенеративные изменения опорно-двигательного аппарата, стимулирует регенерацию суставной и хрящевой ткани</li><li style=""text-align: left;"">Поддерживает структуру и плотность костей, эластичность и прочность соединительной ткани</li><li style=""text-align: left;"">укрепляет мышечный каркас, способствует наращиванию мышечной массы, повышает силу и выносливость</li><li style=""text-align: left;"">ускоряет процессы регенерации тканей</li><li style=""text-align: left;"">минимизирует воспалительные и окислительные процессы в организме</li><li style=""text-align: left;"">восстанавливает слизистые желудочно-кишечного тракта, снижает проницаемость, улучшает перистальтику и пищеварение</li><li style=""text-align: left;"">возвращает тугор и увлажненность кожи, стирает морщинки</li><li style=""text-align: left;"">поддерживает здоровье волосяных луковиц, стимулирует волос, возвращает блеск и упругость</li></ul>";"info|#|Состав|#|Гидролизованные пептиды коллагена, витамин С<br /><br /><p style=""text-align: left;"">В составе 19 аминокислот, витамины и минералы в биодоступной форме. Сохранен природный гликозаминогликановый комплекс, что позволяет рассматривать данный коллаген и как суставной</p><br /><p style=""text-align: left;"">Не содержит дополнительных объемных агентов, подсластителей, консервантов. Усилен витамином С для стимулирования синтеза внутреннего коллагена и антиоксидантной защиты</p>";"info|#|Cпособ применения и дозировка|#|1 чайная ложка (3 г) 1 раз в день. Принимать утром натощак за 30-40 минут до еды.<br /><br />Рекомендуется вводить в пищевой рацион уже после 25 лет. Профилактический курс приёма – 3–4 месяца, перерыв 1–2 месяца.Терапевтический курс приёма – 6 месяцев, перерыв 1 месяц";chars|#|Характеристики
256036072021;;К00002;;"Collagen;коллаген 50%;акции;НА ЧТО РАБОТАЕТ ПРОМОКОД";"Пептиды коллагена Мультикомплекс I, II, III тип (Вишня)";"Коллаген куриный гидролизованный быстро и легко усваиваемый";"пептиды со вкусом вишни<br /><br />ВОДОРАСТВОРИМЫЙ ПОРОШОК<br />НЕ ТРЕБУЕТ ПЕРЕРЫВА В ПРИЕМЕ<br /><br /><p style=""text-align: left;"">Вес нетто: 90 г</p><br /><p style=""text-align: left;""><strong>Гидролизованный пептидный коллаген I, II, III типа.</strong></p><p style=""text-align: left;"">В основе сырья – хрящевая ткань курицы. Получен инновационным методом низкотемпературного ферментативного гидролиза без использования щелочей и кислот. Повторяет естественный процесс расщепления белка в организме. Результат – амино-пептидная формула коллагена высокой степени усвояемости и безопасности</p><br /><p style=""text-align: left;"">Молекулярный вес пептидов 8,7–10,0 кДа. Легко преодолевают желудочно кишечный барьер и встраивается в метаболические процессы, включаясь в структурную, каталитическую, регуляторную, транспортную и защитную функции</p><br /><p style=""text-align: left;"">Не является лекарством или БАД</p>";"https://static.tildacdn.com/stor6134-6561-4433-b835-326464313362/95594720.jpg https://static.tildacdn.com/stor3336-3663-4131-b666-366439356662/65458485.jpg";800.00;;1600;;;ujjClOuHKLTUdeUXkdIT;;"белки 95,0 жиры 1,0 углеводы 0,0";;"Индивидуальная непереносимость компонентов продукта";;;;;;;;;;;;;90;135;200;0;"Коллаген куриный 1,2,3 тип";;"коллаген, коллаген куриный 1,2,3 тип, коллаген для волос, кожи, суставов, пептидный коллаген, пептиды купить, коллаген без добавок";;;"info|#|Преимущества|#|<p style=""text-align: left;"">Правильный коллаген с доказанной эффективностью:</p><ul><li style=""text-align: left;"">активизирует процесс синтеза собственного коллагена, ремоделирует биоматрицу коллагена в системах и органах</li><li style=""text-align: left;"">предотвращает дегенеративные изменения опорно-двигательного аппарата, стимулирует регенерацию суставной и хрящевой ткани</li><li style=""text-align: left;"">поддерживает структуру и плотность костей, эластичность и прочность соединительной ткани</li><li style=""text-align: left;"">укрепляет мышечный каркас, способствует наращиванию мышечной массы, повышает силу и выносливость</li><li style=""text-align: left;"">ускоряет процессы регенерации тканей</li><li style=""text-align: left;"">минимизирует воспалительные и окислительные процессы в организме</li><li style=""text-align: left;"">восстанавливает слизистые желудочно-кишечного тракта, снижает проницаемость, улучшает перистальтику и пищеварение</li><li style=""text-align: left;"">возвращает тугор и увлажненность кожи, стирает морщинки</li><li style=""text-align: left;"">поддерживает здоровье волосяных луковиц, стимулирует волос, возвращает блеск и упругость</li></ul>";"info|#|Состав|#|Гидролизованные пептиды коллагена, витамин С, натуральный ароматизатор Cherry<br /><br /><p style=""text-align: left;"">В составе 19 аминокислот, витамины и минералы в биодоступной форме. Сохранен природный гликозаминогликановый комплекс, что позволяет рассматривать данный коллаген и как суставной</p><br /><p style=""text-align: left;"">Не содержит дополнительных объемных агентов, подсластителей, консервантов. Усилен витамином С для стимулирования синтеза внутреннего коллагена и антиоксидантной защиты</p>";"info|#|Cпособ применения и дозировка|#|1 чайная ложка (3 г) 1 раз в день. Принимать утром натощак за 30-40 минут до еды.<br /><br />Рекомендуется вводить в пищевой рацион уже после 25 лет. Профилактический курс приёма – 3–4 месяца, перерыв 1–2 месяца. Терапевтический курс приёма – 6 месяцев, перерыв 1 месяц";chars|#|Характеристики
768916719521;;К00003;-50%;"Collagen;коллаген 50%;акции";"Пептиды коллагена Мультикомплекс I, II, III тип (Земляника)";"Коллаген куриный гидролизованный быстро и легко усваиваемый";"пептиды со вкусом земляники<br /><br />ВОДОРАСТВОРИМЫЙ ПОРОШОК<br />НЕ ТРЕБУЕТ ПЕРЕРЫВА В ПРИЕМЕ<br /><br /><p style=""text-align: left;"">Вес нетто: 90 г</p><br /><p style=""text-align: left;""><strong>Гидролизованный пептидный коллаген I, II, III типа.</strong></p><p style=""text-align: left;"">В основе сырья – хрящевая ткань курицы. Получен инновационным методом низкотемпературного ферментативного гидролиза без использования щелочей и кислот. Повторяет естественный процесс расщепления белка в организме. Результат – амино-пептидная формула коллагена высокой степени усвояемости и безопасности</p><br /><p style=""text-align: left;"">Молекулярный вес пептидов 8,7–10,0 кДа. Легко преодолевают желудочно кишечный барьер и встраивается в метаболические процессы, включаясь в структурную, каталитическую, регуляторную, транспортную и защитную функции</p><br /><p style=""text-align: left;"">Не является лекарством или БАД</p>";"https://static.tildacdn.com/stor6538-6239-4839-b931-396165613639/69126795.jpg https://static.tildacdn.com/stor6564-6364-4666-b038-363064356465/39799267.jpg";800.00;;1600;;;IZitsXhycIPNEPSshEzf;;"белки 95,0 жиры 1,0 углеводы 0,0";;"Индивидуальная непереносимость компонентов продукта";;;;;;;;;;;;;90;135;200;0;"Коллаген куриный 1,2,3 тип";;"коллаген, коллаген куриный 1,2,3 тип, коллаген для волос, кожи, суставов, пептидный коллаген, пептиды купить, коллаген без добавок";;;"info|#|Преимущества|#|<p style=""text-align: left;"">Правильный коллаген с доказанной эффективностью:</p><ul><li style=""text-align: left;"">активизирует процесс синтеза собственного коллагена, ремоделирует биоматрицу коллагена в системах и органах</li><li style=""text-align: left;"">предотвращает дегенеративные изменения опорно-двигательного аппарата, стимулирует регенерацию суставной и хрящевой ткани</li><li style=""text-align: left;"">поддерживает структуру и плотность костей, эластичность и прочность соединительной ткани</li><li style=""text-align: left;"">укрепляет мышечный каркас, способствует наращиванию мышечной массы, повышает силу и выносливость</li><li style=""text-align: left;"">ускоряет процессы регенерации тканей</li><li style=""text-align: left;"">минимизирует воспалительные и окислительные процессы в организме</li><li style=""text-align: left;"">восстанавливает слизистые желудочно-кишечного тракта, снижает проницаемость, улучшает перистальтику и пищеварение</li><li style=""text-align: left;"">возвращает тугор и увлажненность кожи, стирает морщинки</li><li style=""text-align: left;"">поддерживает здоровье волосяных луковиц, стимулирует волос, возвращает блеск и упругость</li></ul>";"info|#|Состав|#|Гидролизованные пептиды коллагена, витамин С, натуральный ароматизатор Wild strawberry<br /><br /><p style=""text-align: left;"">В составе 19 аминокислот, витамины и минералы в биодоступной форме. Сохранен природный гликозаминогликановый комплекс, что позволяет рассматривать данный коллаген и как суставной</p><br /><p style=""text-align: left;"">Не содержит дополнительных объемных агентов, подсластителей, консервантов. Усилен витамином С для стимулирования синтеза внутреннего коллагена и антиоксидантной защиты</p>";"info|#|Cпособ применения и дозировка|#|1 чайная ложка (3 г) 1 раз в день. Принимать утром натощак за 30-40 минут до еды.<br /><br />Рекомендуется вводить в пищевой рацион уже после 25 лет. Профилактический курс приёма – 3–4 месяца, перерыв 1–2 месяца. Терапевтический курс приёма – 6 месяцев, перерыв 1 месяц";chars|#|Характеристики
815924047541;;К00004;;"Collagen;НА ЧТО РАБОТАЕТ ПРОМОКОД";"Пептиды коллагена Мультикомплекс I, II, III тип (lemon&amp;lime)";"Коллаген куриный гидролизованный быстро и легко усваиваемый";"пептиды со вкусом лимона и лайма<br /><br />ВОДОРАСТВОРИМЫЙ ПОРОШОК<br />НЕ ТРЕБУЕТ ПЕРЕРЫВА В ПРИЕМЕ<br /><br /><p style=""text-align: left;"">Вес нетто: 90 г</p><br /><p style=""text-align: left;""><strong>Гидролизованный пептидный коллаген I, II, III типа.</strong></p><p style=""text-align: left;"">В основе сырья – хрящевая ткань курицы. Получен инновационным методом низкотемпературного ферментативного гидролиза без использования щелочей и кислот. Повторяет естественный процесс расщепления белка в организме. Результат – амино-пептидная формула коллагена высокой степени усвояемости и безопасности</p><br /><p style=""text-align: left;"">Молекулярный вес пептидов 8,7–10,0 кДа. Легко преодолевают желудочно кишечный барьер и встраивается в метаболические процессы, включаясь в структурную, каталитическую, регуляторную, транспортную и защитную функции</p><br /><p style=""text-align: left;"">Не является лекарством или БАД</p>";"https://static.tildacdn.com/stor6330-3937-4231-a361-626362303065/46929135.jpg https://static.tildacdn.com/stor6239-6332-4434-b731-303061643362/35385438.jpg";1600.00;;;;;EPldvpodsrn36xh3SjRo;;"белки 95,0 жиры 1,0 углеводы 0,0";;"Индивидуальная непереносимость компонентов продукта";;;;;;;;;;;;;90;135;200;0;"Коллаген куриный суставный 1,2,3 тип";;"коллаген, коллаген куриный 1,2,3 тип, коллаген для волос, кожи, суставов, пептидный коллаген, пептиды купить, коллаген без добавок";;;"info|#|Преимущества|#|<p style=""text-align: left;"">Правильный коллаген с доказанной эффективностью:</p><ul><li style=""text-align: left;"">активизирует процесс синтеза собственного коллагена, ремоделирует биоматрицу коллагена в системах и органах</li><li style=""text-align: left;"">предотвращает дегенеративные изменения опорно-двигательного аппарата, стимулирует регенерацию суставной и хрящевой ткани</li><li style=""text-align: left;"">поддерживает структуру и плотность костей, эластичность и прочность соединительной ткани</li><li style=""text-align: left;"">укрепляет мышечный каркас, способствует наращиванию мышечной массы, повышает силу и выносливость</li><li style=""text-align: left;"">ускоряет процессы регенерации тканей</li><li style=""text-align: left;"">минимизирует воспалительные и окислительные процессы в организме</li><li style=""text-align: left;"">восстанавливает слизистые желудочно-кишечного тракта, снижает проницаемость, улучшает перистальтику и пищеварение</li><li style=""text-align: left;"">возвращает тугор и увлажненность кожи, стирает морщинки</li><li style=""text-align: left;"">поддерживает здоровье волосяных луковиц, стимулирует волос, возвращает блеск и упругость</li></ul>";"info|#|Состав|#|Гидролизованные пептиды коллагена, витамин С, натуральный ароматизатор Lemon Lime<br /><br /><p style=""text-align: left;"">В составе 19 аминокислот, витамины и минералы в биодоступной форме. Сохранен природный гликозаминогликановый комплекс, что позволяет рассматривать данный коллаген и как суставной</p><br /><p style=""text-align: left;"">Не содержит дополнительных объемных агентов, подсластителей, консервантов. Усилен витамином С для стимулирования синтеза внутреннего коллагена и антиоксидантной защиты</p>";"info|#|Cпособ применения и дозировка|#|1 чайная ложка (3 г) 1 раз в день. Принимать утром натощак за 30-40 минут до еды.<br /><br />Рекомендуется вводить в пищевой рацион уже после 25 лет. Профилактический курс приёма – 3–4 месяца, перерыв 1–2 месяца. Терапевтический курс приёма – 6 месяцев, перерыв 1 месяц";chars|#|Характеристики
848150782971;;Г00001;-50%;"НА ЧТО РАБОТАЕТ ПРОМОКОД;Грибная коллекция;АКЦИИ СТД";"Ежовик гребенчатый + кордицепс военный";;"ГРИБНОЙ ЭНЕРГЕТИЧЕСКИЙ КОМПЛЕКС<br /><br /><p style=""text-align: left;"">Вес нетто: 100 г</p><br /><p style=""text-align: left;""><strong>Ежовик гребенчатый (Hericium erinaceus) + кордицепс военный (Cordyceps militaris)</strong> — это энергетический комплекс от SMART GRIB, который перезагрузит мозг, уберет усталость, прибавит силу и выносливость, сбалансирует нервную систему и поднимет настроение</p><br /><p style=""text-align: left;"">Ежовик – природный ноотроп. Содержит метаболиты и биологически активные вещества, которые восстанавливают нервные клетки, активизируют рост и развитие нейронных связей, ускоряют передачу импульсов. </p><p style=""text-align: left;"">Стимулирует мозговую деятельность, память, увеличивает скорость и объем обработки информации, повышает уровень концентрации. Работает как антидепрессант, снижает уровень стресса и поддерживает стабильное психоэмоциональное состояние. Нормализует сон, восстанавливает циркадные ритмы. </p><p style=""text-align: left;"">Хороший источник неживотного белка, аминокислот, витаминов В1, В2, В5, В6, РР, минералов Ca, Mg, Cu, Zn</p><br /><p style=""text-align: left;"">Кордицепс – природный энергетик и адаптоген. Источник триптофана, тирозина, лизина, треонина, аргинина, серина. Активизирует процессы биосинтеза АТФ и белков, что увеличивает энергетический потенциал организма. Насыщает клетки кислородом, улучшает кровообращение. Ускоряет метаболизм, повышает выносливость, работоспособность. </p><p style=""text-align: left;""> Содержит аминокислоты, витамины B12, D, E, С, минералы К, Fe, Сa, Mg, а также порядка 80 ферментов, которые активизируют биохимические процессы в организме. </p><p style=""text-align: left;"">Комплекс может быть использован в спортивном питании</p><br /><p style=""text-align: left;"">Не является лекарством или БАД</p>";"https://static.tildacdn.com/stor6261-6639-4634-b832-663739363033/67713874.jpg https://static.tildacdn.com/stor3439-3438-4938-b064-623663363662/77372251.jpg";550.00;;1100;;;nm0gyvXRcrEoSVPMv1RG;;"белки 4,0 жиры 1,0 углеводы 59,5";259,2;"Индивидуальная непереносимость компонентов. Беременность, кормление грудью, детский возраст - отсутствуют протоколы клинических испытаний";"24 месяца";;;;;;;;;;;;100;135;200;0;"Ежовик гребенчатый Кордицепс военный";;"гриб капсулированный сушеный семя мицелий ежовик порошок ежевика капсула таблетка лечебный цель ежевик ежевик купить ежовик купить ежовик гребенчатый ежовик гриб ежовик гребенчатый купить мицелий ежовика ежовик гребенчатый мицелий природный ноотроп рекомендован при ковид ежовик гребечатый капсулы ежовик гребенчатый ежовик гребечатый мицелий ежовик гребечатый ежовик гребечатый порошок ежовик гребенчатый мицелий ежовик гребенчатый капсулы ежовик гребенчатый порошок гриб ежовик гребенчатый ежовик гребенчатый,";;;"info|#|Преимущества|#|<ul><li>Восстанавливают нервные клетки</li><li>Активизируют рост и развитие нейронных связей</li><li>Ускоряют передачу импульсов</li><li>Стимулирует мозговую деятельность, память</li><li>Увеличивает скорость и объем обработки информации, повышает уровень концентрации</li><li>Работает как антидепрессант, снижает уровень стресса и поддерживает стабильное психоэмоциональное состояние.</li><li>Нормализует сон, восстанавливает циркадные ритмы</li><li>Хороший источник неживотного белка, аминокислот, витаминов В1, В2, В5, В6, РР, минералов Ca, Mg, Cu, Zn</li><li>Активизирует процессы биосинтеза АТФ и белков, что увеличивает энергетический потенциал организма</li><li>Насыщает клетки кислородом, улучшает кровообращение.</li><li>Ускоряет метаболизм, повышает выносливость, работоспособность</li><li>Антиоксидант, защищает митохондрии и клеточные мембраны.</li><li>Способствует процессам детоксикации и регенерации</li><li>Стимулирует выработку дофамина и тестостерона, снижает кортизол Иммуномодулятор и природный антибиотик за счет кордицепина</li></ul>";"info|#|Состав|#|50% мелкодисперсный порошок мицелия ежовика гребенчатого, 50% мелкодисперсный порошок мицелия кордицепса военного<br /><br /><br />";"info|#|Cпособ применения и дозировка|#|1 чайная ложка (3 г) 1 раз в день в первой половине дня. Продолжительность приема 30 дней. Для выраженного эффекта продолжительность можно увеличить после консультации со специалистом";chars|#|Характеристики
869035623861;;Г00002;-50%;"Грибная коллекция;НА ЧТО РАБОТАЕТ ПРОМОКОД;АКЦИИ СТД";"Ежовик гребенчатый + кордицепс военный капсулы";;"ГРИБНОЙ ЭНЕРГЕТИЧЕСКИЙ КОМПЛЕКС<br /><br /><p style=""text-align: left;"">Вес нетто: 45 г</p><br /><p style=""text-align: left;""><strong>Ежовик гребенчатый (Hericium erinaceus) + кордицепс военный (Cordyceps militaris)</strong> — это энергетический комплекс от SMART GRIB, который перезагрузит мозг, уберет усталость, прибавит силу и выносливость, сбалансирует нервную систему и поднимет настроение</p><br /><p style=""text-align: left;"">Ежовик – природный ноотроп. Содержит метаболиты и биологически активные вещества, которые восстанавливают нервные клетки, активизируют рост и развитие нейронных связей, ускоряют передачу импульсов. Стимулирует мозговую деятельность, память, увеличивает скорость и объем обработки информации, повышает уровень концентрации. Работает как антидепрессант, снижает уровень стресса и поддерживает стабильное психоэмоциональное состояние. Нормализует сон, восстанавливает циркадные ритмы. </p><p style=""text-align: left;"">Хороший источник неживотного белка, аминокислот, витаминов В1, В2, В5, В6, РР, минералов Ca, Mg, Cu, Zn</p><br /><p style=""text-align: left;"">Кордицепс – природный энергетик и адаптоген. Источник триптофана, тирозина, лизина, треонина, аргинина, серина. Активизирует процессы биосинтеза АТФ и белков, что увеличивает энергетический потенциал организма. Ускоряет метаболизм, повышает выносливость, работоспособность. Антиоксидант, защищает митохондрии и клеточные мембраны. Иммуномодулятор и природный антибиотик за счет кордицепина.</p><p style=""text-align: left;""> Содержит аминокислоты, витамины B12, D, E, С, минералы К, Fe, Сa, Mg, а также порядка 80 ферментов, которые активизируют биохимические процессы в организме.</p><p style=""text-align: left;""> Комплекс может быть использован в спортивном питании</p><br /><p style=""text-align: left;"">Не является лекарством или БАД</p>";https://static.tildacdn.com/stor3130-6435-4935-b765-323666653733/88242631.jpg;575.00;;1150;;;yxA6XYp0vSCt5ixZ4uay;;"белки 4,0 жиры 1,0 углеводы 59,5";259,2;"Индивидуальная непереносимость компонентов. Беременность, кормление грудью, детский возраст - отсутствуют протоколы клинических испытаний";;"24 месяца";;;;;;;;;;;45;135;200;0;;;"кордицепс,кордицепс бад, кордицепскупить, кордицепс военный, кордицепс тяньши, кордицепс гриб, кордицепс китай, ежовик, ежовик купить с кордицепсом";;;"info|#|Преимущества|#|<ul><li style=""text-align: left;"">Восстанавливает нервные клетки</li><li style=""text-align: left;"">Активизирует&nbsp; рост и развитие нейронных связей, ускоряют передачу импульсов. Стимулирует мозговую деятельность, память, увеличивает скорость и объем обработки информации, повышает уровень концентрации</li><li style=""text-align: left;"">Работает как антидепрессант, снижает уровень стресса и поддерживает стабильное психоэмоциональное состояние. </li><li style=""text-align: left;"">Нормализует сон, восстанавливает циркадные ритмы.</li><li style=""text-align: left;"">Хороший источник неживотного белка, аминокислот, витаминов В1, В2, В5, В6, РР, минералов Ca, Mg, Cu, Zn</li><li style=""text-align: left;"">Активизирует процессы биосинтеза АТФ и белков, что увеличивает энергетический потенциал организма. </li><li style=""text-align: left;"">Насыщает клетки кислородом, улучшает кровообращение. </li><li style=""text-align: left;"">Ускоряет метаболизм, повышает выносливость, работоспособность. </li><li style=""text-align: left;"">Антиоксидант, защищает митохондрии и клеточные мембраны. </li><li style=""text-align: left;"">Способствует процессам детоксикации и регенерации. Стимулирует выработку дофамина и тестостерона, снижает кортизол. </li><li style=""text-align: left;"">Иммуномодулятор и природный антибиотик за счет кордицепина.</li></ul>";"info|#|Состав|#|50% мелкодисперсный порошок мицелия ежовика гребенчатого, 50% мелкодисперсный порошок мицелия кордицепса военного, желатиновая капсула";"info|#|Cпособ применения и дозировка|#|По 3 капсулы 1 раз в день в первой половине дня. Продолжительность приема 30 дней. Для выраженного терапевтического эффекта продолжительность курса можно увеличить после консультации со специалистом";chars|#|Характеристики
678670507121;;Г00003;-50%;"Грибная коллекция;АКЦИИ СТД";"Ежовик гребенчатый";;"СУПЕР ФУД ДЛЯ ЛУЧШЕЙ ВЕРСИИ СЕБЯ<br /><br /><p style=""text-align: left;"">Вес нетто: 100 г</p><br /><p style=""text-align: left;""><strong>Ежовик гребенчатый (Hericium erinaceus) от SMART GRIB </strong>— это природная реанимация нервных клеток, спрутинг нейронов, усилитель когнитивного резерва и КПД мозга, стабилизатор психоэмоционального состояния, активатор новых целей и возможностей</p><br /><p style=""text-align: left;"">Завораживает своим внешним видом и удивляет уникальным составом.</p><p style=""text-align: left;"">Содержит 70 метаболитов, которые оказывают профилактическое и лечебное действие при когнитивных и неврологических заболеваниях, биологически активные вещества, в числе которых эринацины, гериценоны, аминокислоты, пальмитиновая кислота, β-D глюканы, эргостерол, витамины B1, B2, B3, B9, В6, калий, магний, кальций, железо, цинк, медь.</p><br /><p style=""text-align: left;"">Природный ноотроп без побочных эффектов и синдрома отмены. Восстанавливает поврежденные периферические нервы.</p><p style=""text-align: left;"">Улучшает память, способность к запоминанию информации, увеличивает скорость обработки и усвоения информации. Повышает концентрацию внимания. Снижает чувство тревоги и проявление депрессии, улучшает настроение. Нормализует сон, выравнивает циркадные ритмы.</p><p style=""text-align: left;"">Используется как дополнительное средство терапии восстановления ЦНС после травм и инсультов, для профилактики болезней Альцгеймера и Паркинсона. Мощный стимулятор метаболизма. Иммуномодулятор, активирует Т-и В- лимфоциты. Усиливает перистальтику кишечника, улучшает кровообращение в ЖКТ</p><br /><p style=""text-align: left;"">Не является лекарством или БАД</p>";"https://static.tildacdn.com/stor3463-6136-4437-a639-333033353438/92679984.jpg https://static.tildacdn.com/stor6630-6431-4334-a430-376361373961/15373830.jpg";550.00;0;1100;;;JvEcj1Nr1BFcC3K3iXza;;"белки 3,4 жиры 0,0 углеводы 1,5";23,8;"Индивидуальная непереносимость компонентов. Беременность, кормление грудью, детский возраст - отсутствуют протоколы клинических испытаний";;"24 месяца";;;;;;;;;;;100;135;200;0;"Ежовик гребенчатый";;"гриб капсулированный сушеный семя мицелий ежовик порошок ежевика капсула таблетка лечебный цель ежевик ежевик купить ежовик купить ежовик гребенчатый ежовик гриб ежовик гребенчатый купить мицелий ежовика ежовик гребенчатый мицелий природный ноотроп рекомендован при ковид ежовик гребечатый капсулы ежовик гребенчатый ежовик гребечатый мицелий ежовик гребечатый ежовик гребечатый порошок ежовик гребенчатый мицелий ежовик гребенчатый капсулы ежовик гребенчатый порошок гриб ежовик гребенчатый ежовик гребенчатый п";;;"info|#|Преимущества|#|<ul><li style=""text-align: left;"">Содержит 70 метаболитов, которые оказывают профилактическое и лечебное действие при когнитивных и неврологических заболеваниях</li><li style=""text-align: left;""> Природный ноотроп без побочных эффектов и синдрома отмены</li><li style=""text-align: left;""> Восстанавливает поврежденные периферические нервы</li><li style=""text-align: left;""> Способствует процессам создания и закрепления новых нейронных связей, передачи импульсов</li><li style=""text-align: left;"">Предупреждает развитие нейродегенеративных болезней</li><li style=""text-align: left;"">Улучшает память, способность к запоминанию информации, увеличивает скорость обработки и усвоения информации</li><li style=""text-align: left;"">Усиливает остроту восприятия и творческие способности</li><li style=""text-align: left;"">Повышает концентрацию внимания</li><li style=""text-align: left;"">Антидепрессант</li><li style=""text-align: left;"">Снижает чувство тревоги и проявление депрессии, улучшает настроение Нормализует сон, выравнивает циркадные ритмы</li><li style=""text-align: left;""> Используется как дополнительное средство терапии восстановления ЦНС после травм и инсультов, для профилактики болезней Альцгеймера и Паркинсона</li><li style=""text-align: left;""> Мощный стимулятор метаболизма</li><li style=""text-align: left;"">Иммуномодулятор, активирует Т-и В- лимфоциты</li><li style=""text-align: left;"">Усиливает перистальтику кишечника, улучшает кровообращение в ЖКТ</li></ul>";"info|#|Состав|#|100 г мелкодисперсного порошка мицелия ежовика гребенчатого";"info|#|Cпособ применения и дозировка|#|1 чайная ложка (3 г ) 1 раз в день в первой половине дня. Продолжительность приема 30-50 дней. Для терапевтического эффекта продолжительность можно увеличить после консультации со специалистом";chars|#|Характеристики
